forecast_date,target,target_end_date,location,type,quantile,value
2022-12-25,1 day ahead inc hosp,2022-12-30,53,quantile,0.01,33.8
2022-12-25,1 day ahead inc hosp,2022-12-30,17,quantile,0.01,154.7
2022-12-25,1 day ahead inc hosp,2022-12-30,06,quantile,0.01,400.7
2022-12-25,1 day ahead inc hosp,2022-12-30,04,quantile,0.01,45.9
2022-12-25,1 day ahead inc hosp,2022-12-30,25,quantile,0.01,113.1
2022-12-25,1 day ahead inc hosp,2022-12-30,55,quantile,0.01,57.2
2022-12-25,1 day ahead inc hosp,2022-12-30,48,quantile,0.01,240.6
2022-12-25,1 day ahead inc hosp,2022-12-30,31,quantile,0.01,15
2022-12-25,1 day ahead inc hosp,2022-12-30,49,quantile,0.01,19.5
2022-12-25,1 day ahead inc hosp,2022-12-30,41,quantile,0.01,22.2
2022-12-25,1 day ahead inc hosp,2022-12-30,12,quantile,0.01,155.6
2022-12-25,1 day ahead inc hosp,2022-12-30,36,quantile,0.01,257.1
2022-12-25,1 day ahead inc hosp,2022-12-30,44,quantile,0.01,9.5
2022-12-25,1 day ahead inc hosp,2022-12-30,13,quantile,0.01,95.5
2022-12-25,1 day ahead inc hosp,2022-12-30,33,quantile,0.01,11.5
2022-12-25,1 day ahead inc hosp,2022-12-30,37,quantile,0.01,112.5
2022-12-25,1 day ahead inc hosp,2022-12-30,34,quantile,0.01,177.1
2022-12-25,1 day ahead inc hosp,2022-12-30,08,quantile,0.01,32.7
2022-12-25,1 day ahead inc hosp,2022-12-30,24,quantile,0.01,65.8
2022-12-25,1 day ahead inc hosp,2022-12-30,32,quantile,0.01,19.1
2022-12-25,1 day ahead inc hosp,2022-12-30,47,quantile,0.01,56.1
2022-12-25,1 day ahead inc hosp,2022-12-30,15,quantile,0.01,11.3
2022-12-25,1 day ahead inc hosp,2022-12-30,18,quantile,0.01,73.4
2022-12-25,1 day ahead inc hosp,2022-12-30,21,quantile,0.01,22.9
2022-12-25,1 day ahead inc hosp,2022-12-30,27,quantile,0.01,52.4
2022-12-25,1 day ahead inc hosp,2022-12-30,40,quantile,0.01,25.8
2022-12-25,1 day ahead inc hosp,2022-12-30,42,quantile,0.01,136.8
2022-12-25,1 day ahead inc hosp,2022-12-30,45,quantile,0.01,50
2022-12-25,1 day ahead inc hosp,2022-12-30,11,quantile,0.01,12
2022-12-25,1 day ahead inc hosp,2022-12-30,20,quantile,0.01,21.4
2022-12-25,1 day ahead inc hosp,2022-12-30,29,quantile,0.01,65.8
2022-12-25,1 day ahead inc hosp,2022-12-30,50,quantile,0.01,1.3
2022-12-25,1 day ahead inc hosp,2022-12-30,51,quantile,0.01,86.5
2022-12-25,1 day ahead inc hosp,2022-12-30,09,quantile,0.01,55.9
2022-12-25,1 day ahead inc hosp,2022-12-30,19,quantile,0.01,22
2022-12-25,1 day ahead inc hosp,2022-12-30,22,quantile,0.01,21.5
2022-12-25,1 day ahead inc hosp,2022-12-30,39,quantile,0.01,149.9
2022-12-25,1 day ahead inc hosp,2022-12-30,26,quantile,0.01,86.6
2022-12-25,1 day ahead inc hosp,2022-12-30,46,quantile,0.01,6
2022-12-25,1 day ahead inc hosp,2022-12-30,05,quantile,0.01,18.2
2022-12-25,1 day ahead inc hosp,2022-12-30,10,quantile,0.01,5.3
2022-12-25,1 day ahead inc hosp,2022-12-30,28,quantile,0.01,31.8
2022-12-25,1 day ahead inc hosp,2022-12-30,35,quantile,0.01,8.3
2022-12-25,1 day ahead inc hosp,2022-12-30,38,quantile,0.01,2.9
2022-12-25,1 day ahead inc hosp,2022-12-30,56,quantile,0.01,1.5
2022-12-25,1 day ahead inc hosp,2022-12-30,02,quantile,0.01,0.7
2022-12-25,1 day ahead inc hosp,2022-12-30,23,quantile,0.01,5.4
2022-12-25,1 day ahead inc hosp,2022-12-30,01,quantile,0.01,38.5
2022-12-25,1 day ahead inc hosp,2022-12-30,16,quantile,0.01,11.6
2022-12-25,1 day ahead inc hosp,2022-12-30,30,quantile,0.01,5.7
2022-12-25,1 day ahead inc hosp,2022-12-30,72,quantile,0.01,13.6
2022-12-25,1 day ahead inc hosp,2022-12-30,78,quantile,0.01,0
2022-12-25,1 day ahead inc hosp,2022-12-30,54,quantile,0.01,14.2
2022-12-25,2 day ahead inc hosp,2023-01-06,53,quantile,0.01,33.7
2022-12-25,2 day ahead inc hosp,2023-01-06,17,quantile,0.01,154.2
2022-12-25,2 day ahead inc hosp,2023-01-06,06,quantile,0.01,399.6
2022-12-25,2 day ahead inc hosp,2023-01-06,04,quantile,0.01,45.8
2022-12-25,2 day ahead inc hosp,2023-01-06,25,quantile,0.01,112.3
2022-12-25,2 day ahead inc hosp,2023-01-06,55,quantile,0.01,57.1
2022-12-25,2 day ahead inc hosp,2023-01-06,48,quantile,0.01,240.6
2022-12-25,2 day ahead inc hosp,2023-01-06,31,quantile,0.01,14.9
2022-12-25,2 day ahead inc hosp,2023-01-06,49,quantile,0.01,19.4
2022-12-25,2 day ahead inc hosp,2023-01-06,41,quantile,0.01,22
