forecast_date,target,target_end_date,location,type,quantile,value
2022-08-21,1 day ahead inc hosp,2022-08-26,53,quantile,0.01,41.6
2022-08-21,1 day ahead inc hosp,2022-08-26,17,quantile,0.01,126.9
2022-08-21,1 day ahead inc hosp,2022-08-26,06,quantile,0.01,298.7
2022-08-21,1 day ahead inc hosp,2022-08-26,04,quantile,0.01,30.6
2022-08-21,1 day ahead inc hosp,2022-08-26,25,quantile,0.01,48.9
2022-08-21,1 day ahead inc hosp,2022-08-26,55,quantile,0.01,49.4
2022-08-21,1 day ahead inc hosp,2022-08-26,48,quantile,0.01,231.5
2022-08-21,1 day ahead inc hosp,2022-08-26,31,quantile,0.01,16.7
2022-08-21,1 day ahead inc hosp,2022-08-26,49,quantile,0.01,18.9
2022-08-21,1 day ahead inc hosp,2022-08-26,41,quantile,0.01,24.4
2022-08-21,1 day ahead inc hosp,2022-08-26,12,quantile,0.01,323
2022-08-21,1 day ahead inc hosp,2022-08-26,36,quantile,0.01,193.5
2022-08-21,1 day ahead inc hosp,2022-08-26,44,quantile,0.01,5.1
2022-08-21,1 day ahead inc hosp,2022-08-26,13,quantile,0.01,140.2
2022-08-21,1 day ahead inc hosp,2022-08-26,33,quantile,0.01,6.1
2022-08-21,1 day ahead inc hosp,2022-08-26,37,quantile,0.01,93.3
2022-08-21,1 day ahead inc hosp,2022-08-26,34,quantile,0.01,104.1
2022-08-21,1 day ahead inc hosp,2022-08-26,08,quantile,0.01,26.8
2022-08-21,1 day ahead inc hosp,2022-08-26,24,quantile,0.01,46.4
2022-08-21,1 day ahead inc hosp,2022-08-26,32,quantile,0.01,8.3
2022-08-21,1 day ahead inc hosp,2022-08-26,47,quantile,0.01,72.5
2022-08-21,1 day ahead inc hosp,2022-08-26,15,quantile,0.01,12.9
2022-08-21,1 day ahead inc hosp,2022-08-26,18,quantile,0.01,74.8
2022-08-21,1 day ahead inc hosp,2022-08-26,21,quantile,0.01,11.7
2022-08-21,1 day ahead inc hosp,2022-08-26,27,quantile,0.01,52.9
2022-08-21,1 day ahead inc hosp,2022-08-26,40,quantile,0.01,0
2022-08-21,1 day ahead inc hosp,2022-08-26,42,quantile,0.01,137.2
2022-08-21,1 day ahead inc hosp,2022-08-26,45,quantile,0.01,48.2
2022-08-21,1 day ahead inc hosp,2022-08-26,11,quantile,0.01,7.6
2022-08-21,1 day ahead inc hosp,2022-08-26,20,quantile,0.01,15.4
2022-08-21,1 day ahead inc hosp,2022-08-26,29,quantile,0.01,65
2022-08-21,1 day ahead inc hosp,2022-08-26,50,quantile,0.01,0.9
2022-08-21,1 day ahead inc hosp,2022-08-26,51,quantile,0.01,82.8
2022-08-21,1 day ahead inc hosp,2022-08-26,09,quantile,0.01,41
2022-08-21,1 day ahead inc hosp,2022-08-26,19,quantile,0.01,29
2022-08-21,1 day ahead inc hosp,2022-08-26,22,quantile,0.01,44.8
2022-08-21,1 day ahead inc hosp,2022-08-26,39,quantile,0.01,141.4
2022-08-21,1 day ahead inc hosp,2022-08-26,26,quantile,0.01,86.8
2022-08-21,1 day ahead inc hosp,2022-08-26,46,quantile,0.01,9.4
2022-08-21,1 day ahead inc hosp,2022-08-26,05,quantile,0.01,17.3
2022-08-21,1 day ahead inc hosp,2022-08-26,10,quantile,0.01,9.7
2022-08-21,1 day ahead inc hosp,2022-08-26,28,quantile,0.01,26.2
2022-08-21,1 day ahead inc hosp,2022-08-26,35,quantile,0.01,6.3
2022-08-21,1 day ahead inc hosp,2022-08-26,38,quantile,0.01,3.9
2022-08-21,1 day ahead inc hosp,2022-08-26,56,quantile,0.01,1.1
2022-08-21,1 day ahead inc hosp,2022-08-26,02,quantile,0.01,4.4
2022-08-21,1 day ahead inc hosp,2022-08-26,23,quantile,0.01,7.5
2022-08-21,1 day ahead inc hosp,2022-08-26,01,quantile,0.01,46.8
2022-08-21,1 day ahead inc hosp,2022-08-26,16,quantile,0.01,9.5
2022-08-21,1 day ahead inc hosp,2022-08-26,30,quantile,0.01,2.7
2022-08-21,1 day ahead inc hosp,2022-08-26,72,quantile,0.01,6.9
2022-08-21,1 day ahead inc hosp,2022-08-26,78,quantile,0.01,0
2022-08-21,1 day ahead inc hosp,2022-08-26,54,quantile,0.01,31.2
2022-08-21,2 day ahead inc hosp,2022-09-02,53,quantile,0.01,41.4
2022-08-21,2 day ahead inc hosp,2022-09-02,17,quantile,0.01,125.7
2022-08-21,2 day ahead inc hosp,2022-09-02,06,quantile,0.01,297.4
2022-08-21,2 day ahead inc hosp,2022-09-02,04,quantile,0.01,30.4
2022-08-21,2 day ahead inc hosp,2022-09-02,25,quantile,0.01,48.7
2022-08-21,2 day ahead inc hosp,2022-09-02,55,quantile,0.01,49.1
2022-08-21,2 day ahead inc hosp,2022-09-02,48,quantile,0.01,229.4
2022-08-21,2 day ahead inc hosp,2022-09-02,31,quantile,0.01,16.7
2022-08-21,2 day ahead inc hosp,2022-09-02,49,quantile,0.01,18.8
2022-08-21,2 day ahead inc hosp,2022-09-02,41,quantile,0.01,24.2
2022-08-21,2 day ahead inc hosp,2022-09-02,12,quantile,0.01,320.8
2022-08-21,2 day ahead inc hosp,2022-09-02,36,quantile,0.01,192.2
2022-08-21,2 day ahead inc hosp,2022-09-02,44,quantile,0.01,5.1
2022-08-21,2 day ahead inc hosp,2022-09-02,13,quantile,0.01,140.5
2022-08-21,2 day ahead inc hosp,2022-09-02,33,quantile,0.01,6.1
2022-08-21,2 day ahead inc hosp,2022-09-02,37,quantile,0.01,92.8
2022-08-21,2 day ahead inc hosp,2022-09-02,34,quantile,0.01,103
2022-08-21,2 day ahead inc hosp,2022-09-02,08,quantile,0.01,26.4
2022-08-21,2 day ahead inc hosp,2022-09-02,24,quantile,0.01,46.4
2022-08-21,2 day ahead inc hosp,2022-09-02,32,quantile,0.01,8.2
2022-08-21,2 day ahead inc hosp,2022-09-02,47,quantile,0.01,72.1
2022-08-21,2 day ahead inc hosp,2022-09-02,15,quantile,0.01,12.8
2022-08-21,2 day ahead inc hosp,2022-09-02,18,quantile,0.01,74.1
2022-08-21,2 day ahead inc hosp,2022-09-02,21,quantile,0.01,12
2022-08-21,2 day ahead inc hosp,2022-09-02,27,quantile,0.01,52.7
2022-08-21,2 day ahead inc hosp,2022-09-02,40,quantile,0.01,0
2022-08-21,2 day ahead inc hosp,2022-09-02,42,quantile,0.01,136.4
2022-08-21,2 day ahead inc hosp,2022-09-02,45,quantile,0.01,47.6
2022-08-21,2 day ahead inc hosp,2022-09-02,11,quantile,0.01,7.6
2022-08-21,2 day ahead inc hosp,2022-09-02,20,quantile,0.01,15.2
2022-08-21,2 day ahead inc hosp,2022-09-02,29,quantile,0.01,64.3
2022-08-21,2 day ahead inc hosp,2022-09-02,50,quantile,0.01,0.9
2022-08-21,2 day ahead inc hosp,2022-09-02,51,quantile,0.01,82.3
2022-08-21,2 day ahead inc hosp,2022-09-02,09,quantile,0.01,40.7
2022-08-21,2 day ahead inc hosp,2022-09-02,19,quantile,0.01,28.9
2022-08-21,2 day ahead inc hosp,2022-09-02,22,quantile,0.01,44.2
2022-08-21,2 day ahead inc hosp,2022-09-02,39,quantile,0.01,140.3
