forecast_date,target,target_end_date,location,type,quantile,value
2023-01-22,1 day ahead inc hosp,2023-01-27,53,quantile,0.01,29.2
2023-01-22,1 day ahead inc hosp,2023-01-27,17,quantile,0.01,74.2
2023-01-22,1 day ahead inc hosp,2023-01-27,06,quantile,0.01,182.6
2023-01-22,1 day ahead inc hosp,2023-01-27,04,quantile,0.01,30.8
2023-01-22,1 day ahead inc hosp,2023-01-27,25,quantile,0.01,62.6
2023-01-22,1 day ahead inc hosp,2023-01-27,55,quantile,0.01,47.5
2023-01-22,1 day ahead inc hosp,2023-01-27,48,quantile,0.01,205.8
2023-01-22,1 day ahead inc hosp,2023-01-27,31,quantile,0.01,5.9
2023-01-22,1 day ahead inc hosp,2023-01-27,49,quantile,0.01,4.5
2023-01-22,1 day ahead inc hosp,2023-01-27,41,quantile,0.01,13.7
2023-01-22,1 day ahead inc hosp,2023-01-27,12,quantile,0.01,167
2023-01-22,1 day ahead inc hosp,2023-01-27,36,quantile,0.01,180.8
2023-01-22,1 day ahead inc hosp,2023-01-27,44,quantile,0.01,6.7
2023-01-22,1 day ahead inc hosp,2023-01-27,13,quantile,0.01,83.7
2023-01-22,1 day ahead inc hosp,2023-01-27,33,quantile,0.01,4.1
2023-01-22,1 day ahead inc hosp,2023-01-27,37,quantile,0.01,65.8
2023-01-22,1 day ahead inc hosp,2023-01-27,34,quantile,0.01,110.2
2023-01-22,1 day ahead inc hosp,2023-01-27,08,quantile,0.01,18
2023-01-22,1 day ahead inc hosp,2023-01-27,24,quantile,0.01,38.7
2023-01-22,1 day ahead inc hosp,2023-01-27,32,quantile,0.01,12.1
2023-01-22,1 day ahead inc hosp,2023-01-27,47,quantile,0.01,31.7
2023-01-22,1 day ahead inc hosp,2023-01-27,15,quantile,0.01,9.8
2023-01-22,1 day ahead inc hosp,2023-01-27,18,quantile,0.01,32.5
2023-01-22,1 day ahead inc hosp,2023-01-27,21,quantile,0.01,19.4
2023-01-22,1 day ahead inc hosp,2023-01-27,27,quantile,0.01,26.5
2023-01-22,1 day ahead inc hosp,2023-01-27,40,quantile,0.01,13.9
2023-01-22,1 day ahead inc hosp,2023-01-27,42,quantile,0.01,106.9
2023-01-22,1 day ahead inc hosp,2023-01-27,45,quantile,0.01,33.2
2023-01-22,1 day ahead inc hosp,2023-01-27,11,quantile,0.01,6.3
2023-01-22,1 day ahead inc hosp,2023-01-27,20,quantile,0.01,9.2
