forecast_date,target,target_end_date,location,type,quantile,value
2022-01-02,1 day ahead inc hosp,2022-01-07,53,quantile,0.01,76.4
2022-01-02,1 day ahead inc hosp,2022-01-07,17,quantile,0.01,490.6
2022-01-02,1 day ahead inc hosp,2022-01-07,06,quantile,0.01,393.6
2022-01-02,1 day ahead inc hosp,2022-01-07,04,quantile,0.01,154.8
2022-01-02,1 day ahead inc hosp,2022-01-07,25,quantile,0.01,146.3
2022-01-02,1 day ahead inc hosp,2022-01-07,55,quantile,0.01,222.8
2022-01-02,1 day ahead inc hosp,2022-01-07,48,quantile,0.01,659.5
2022-01-02,1 day ahead inc hosp,2022-01-07,31,quantile,0.01,29.5
2022-01-02,1 day ahead inc hosp,2022-01-07,49,quantile,0.01,53.3
2022-01-02,1 day ahead inc hosp,2022-01-07,41,quantile,0.01,18.7
2022-01-02,1 day ahead inc hosp,2022-01-07,12,quantile,0.01,567.7
2022-01-02,1 day ahead inc hosp,2022-01-07,36,quantile,0.01,981.6
2022-01-02,1 day ahead inc hosp,2022-01-07,44,quantile,0.01,25.1
2022-01-02,1 day ahead inc hosp,2022-01-07,13,quantile,0.01,486.2
2022-01-02,1 day ahead inc hosp,2022-01-07,33,quantile,0.01,27.5
2022-01-02,1 day ahead inc hosp,2022-01-07,37,quantile,0.01,245.4
2022-01-02,1 day ahead inc hosp,2022-01-07,34,quantile,0.01,122.2
2022-01-02,1 day ahead inc hosp,2022-01-07,08,quantile,0.01,171.1
2022-01-02,1 day ahead inc hosp,2022-01-07,24,quantile,0.01,283.4
2022-01-02,1 day ahead inc hosp,2022-01-07,32,quantile,0.01,55.1
2022-01-02,1 day ahead inc hosp,2022-01-07,47,quantile,0.01,195
2022-01-02,1 day ahead inc hosp,2022-01-07,15,quantile,0.01,20.9
2022-01-02,1 day ahead inc hosp,2022-01-07,18,quantile,0.01,211.6
2022-01-02,1 day ahead inc hosp,2022-01-07,21,quantile,0.01,42.5
2022-01-02,1 day ahead inc hosp,2022-01-07,27,quantile,0.01,101.5
2022-01-02,1 day ahead inc hosp,2022-01-07,40,quantile,0.01,92.2
2022-01-02,1 day ahead inc hosp,2022-01-07,42,quantile,0.01,471.5
2022-01-02,1 day ahead inc hosp,2022-01-07,45,quantile,0.01,115.4
2022-01-02,1 day ahead inc hosp,2022-01-07,11,quantile,0.01,5.6
2022-01-02,1 day ahead inc hosp,2022-01-07,20,quantile,0.01,80.5
2022-01-02,1 day ahead inc hosp,2022-01-07,29,quantile,0.01,181.2
2022-01-02,1 day ahead inc hosp,2022-01-07,50,quantile,0.01,5.8
2022-01-02,1 day ahead inc hosp,2022-01-07,51,quantile,0.01,249.3
2022-01-02,1 day ahead inc hosp,2022-01-07,09,quantile,0.01,143.2
2022-01-02,1 day ahead inc hosp,2022-01-07,19,quantile,0.01,79.5
2022-01-02,1 day ahead inc hosp,2022-01-07,22,quantile,0.01,80.7
2022-01-02,1 day ahead inc hosp,2022-01-07,39,quantile,0.01,555.7
2022-01-02,1 day ahead inc hosp,2022-01-07,26,quantile,0.01,352.9
2022-01-02,1 day ahead inc hosp,2022-01-07,46,quantile,0.01,13.2
2022-01-02,1 day ahead inc hosp,2022-01-07,05,quantile,0.01,51.4
2022-01-02,1 day ahead inc hosp,2022-01-07,10,quantile,0.01,20.2
2022-01-02,1 day ahead inc hosp,2022-01-07,28,quantile,0.01,50.5
2022-01-02,1 day ahead inc hosp,2022-01-07,35,quantile,0.01,36.3
2022-01-02,1 day ahead inc hosp,2022-01-07,38,quantile,0.01,10.8
2022-01-02,1 day ahead inc hosp,2022-01-07,56,quantile,0.01,3.2
2022-01-02,1 day ahead inc hosp,2022-01-07,02,quantile,0.01,2.8
2022-01-02,1 day ahead inc hosp,2022-01-07,23,quantile,0.01,17
2022-01-02,1 day ahead inc hosp,2022-01-07,01,quantile,0.01,112.9
2022-01-02,1 day ahead inc hosp,2022-01-07,16,quantile,0.01,19.6
2022-01-02,1 day ahead inc hosp,2022-01-07,30,quantile,0.01,11.8
2022-01-02,1 day ahead inc hosp,2022-01-07,72,quantile,0.01,15.7
2022-01-02,1 day ahead inc hosp,2022-01-07,78,quantile,0.01,0.5
2022-01-02,1 day ahead inc hosp,2022-01-07,54,quantile,0.01,47
2022-01-02,2 day ahead inc hosp,2022-01-14,53,quantile,0.01,76.5
2022-01-02,2 day ahead inc hosp,2022-01-14,17,quantile,0.01,490.3
2022-01-02,2 day ahead inc hosp,2022-01-14,06,quantile,0.01,409
2022-01-02,2 day ahead inc hosp,2022-01-14,04,quantile,0.01,153.3
2022-01-02,2 day ahead inc hosp,2022-01-14,25,quantile,0.01,146.2
2022-01-02,2 day ahead inc hosp,2022-01-14,55,quantile,0.01,220.9
2022-01-02,2 day ahead inc hosp,2022-01-14,48,quantile,0.01,668.7
2022-01-02,2 day ahead inc hosp,2022-01-14,31,quantile,0.01,29.4
2022-01-02,2 day ahead inc hosp,2022-01-14,49,quantile,0.01,52.9
2022-01-02,2 day ahead inc hosp,2022-01-14,41,quantile,0.01,18.8
2022-01-02,2 day ahead inc hosp,2022-01-14,12,quantile,0.01,570.5
2022-01-02,2 day ahead inc hosp,2022-01-14,36,quantile,0.01,978.2
2022-01-02,2 day ahead inc hosp,2022-01-14,44,quantile,0.01,25.4
2022-01-02,2 day ahead inc hosp,2022-01-14,13,quantile,0.01,486.4
2022-01-02,2 day ahead inc hosp,2022-01-14,33,quantile,0.01,27.2
2022-01-02,2 day ahead inc hosp,2022-01-14,37,quantile,0.01,245.3
2022-01-02,2 day ahead inc hosp,2022-01-14,34,quantile,0.01,122.9
2022-01-02,2 day ahead inc hosp,2022-01-14,08,quantile,0.01,168.6
2022-01-02,2 day ahead inc hosp,2022-01-14,24,quantile,0.01,282.3
