forecast_date,target,target_end_date,location,type,quantile,value
2022-06-12,1 day ahead inc hosp,2022-06-17,53,quantile,0.01,39.2
2022-06-12,1 day ahead inc hosp,2022-06-17,17,quantile,0.01,105.7
2022-06-12,1 day ahead inc hosp,2022-06-17,06,quantile,0.01,254.2
2022-06-12,1 day ahead inc hosp,2022-06-17,04,quantile,0.01,42.9
2022-06-12,1 day ahead inc hosp,2022-06-17,25,quantile,0.01,39.8
2022-06-12,1 day ahead inc hosp,2022-06-17,55,quantile,0.01,46.2
2022-06-12,1 day ahead inc hosp,2022-06-17,48,quantile,0.01,173.9
2022-06-12,1 day ahead inc hosp,2022-06-17,31,quantile,0.01,8.2
2022-06-12,1 day ahead inc hosp,2022-06-17,49,quantile,0.01,17.5
2022-06-12,1 day ahead inc hosp,2022-06-17,41,quantile,0.01,22.3
2022-06-12,1 day ahead inc hosp,2022-06-17,12,quantile,0.01,241.5
2022-06-12,1 day ahead inc hosp,2022-06-17,36,quantile,0.01,123.4
2022-06-12,1 day ahead inc hosp,2022-06-17,44,quantile,0.01,1.2
2022-06-12,1 day ahead inc hosp,2022-06-17,13,quantile,0.01,64.6
2022-06-12,1 day ahead inc hosp,2022-06-17,33,quantile,0.01,5.4
2022-06-12,1 day ahead inc hosp,2022-06-17,37,quantile,0.01,58.2
2022-06-12,1 day ahead inc hosp,2022-06-17,34,quantile,0.01,80.6
2022-06-12,1 day ahead inc hosp,2022-06-17,08,quantile,0.01,47
2022-06-12,1 day ahead inc hosp,2022-06-17,24,quantile,0.01,22
2022-06-12,1 day ahead inc hosp,2022-06-17,32,quantile,0.01,24.6
2022-06-12,1 day ahead inc hosp,2022-06-17,47,quantile,0.01,36.1
2022-06-12,1 day ahead inc hosp,2022-06-17,15,quantile,0.01,24.8
2022-06-12,1 day ahead inc hosp,2022-06-17,18,quantile,0.01,41
2022-06-12,1 day ahead inc hosp,2022-06-17,21,quantile,0.01,3.5
2022-06-12,1 day ahead inc hosp,2022-06-17,27,quantile,0.01,39.2
2022-06-12,1 day ahead inc hosp,2022-06-17,40,quantile,0.01,3.2
2022-06-12,1 day ahead inc hosp,2022-06-17,42,quantile,0.01,84.5
2022-06-12,1 day ahead inc hosp,2022-06-17,45,quantile,0.01,28.9
2022-06-12,1 day ahead inc hosp,2022-06-17,11,quantile,0.01,5.5
2022-06-12,1 day ahead inc hosp,2022-06-17,20,quantile,0.01,11.6
2022-06-12,1 day ahead inc hosp,2022-06-17,29,quantile,0.01,47
2022-06-12,1 day ahead inc hosp,2022-06-17,50,quantile,0.01,0.8
2022-06-12,1 day ahead inc hosp,2022-06-17,51,quantile,0.01,50.6
2022-06-12,1 day ahead inc hosp,2022-06-17,09,quantile,0.01,26.4
2022-06-12,1 day ahead inc hosp,2022-06-17,19,quantile,0.01,18.9
2022-06-12,1 day ahead inc hosp,2022-06-17,22,quantile,0.01,27.3
2022-06-12,1 day ahead inc hosp,2022-06-17,39,quantile,0.01,84.5
2022-06-12,1 day ahead inc hosp,2022-06-17,26,quantile,0.01,67.4
2022-06-12,1 day ahead inc hosp,2022-06-17,46,quantile,0.01,3.7
2022-06-12,1 day ahead inc hosp,2022-06-17,05,quantile,0.01,12.7
2022-06-12,1 day ahead inc hosp,2022-06-17,10,quantile,0.01,2.9
2022-06-12,1 day ahead inc hosp,2022-06-17,28,quantile,0.01,11.3
2022-06-12,1 day ahead inc hosp,2022-06-17,35,quantile,0.01,10.7
2022-06-12,1 day ahead inc hosp,2022-06-17,38,quantile,0.01,2
2022-06-12,1 day ahead inc hosp,2022-06-17,56,quantile,0.01,3.1
2022-06-12,1 day ahead inc hosp,2022-06-17,02,quantile,0.01,3.3
2022-06-12,1 day ahead inc hosp,2022-06-17,23,quantile,0.01,4.9
2022-06-12,1 day ahead inc hosp,2022-06-17,01,quantile,0.01,28.1
2022-06-12,1 day ahead inc hosp,2022-06-17,16,quantile,0.01,8.7
2022-06-12,1 day ahead inc hosp,2022-06-17,30,quantile,0.01,2.3
2022-06-12,1 day ahead inc hosp,2022-06-17,72,quantile,0.01,12.7
2022-06-12,1 day ahead inc hosp,2022-06-17,78,quantile,0.01,0
2022-06-12,1 day ahead inc hosp,2022-06-17,54,quantile,0.01,16.1
2022-06-12,2 day ahead inc hosp,2022-06-24,53,quantile,0.01,39.2
2022-06-12,2 day ahead inc hosp,2022-06-24,17,quantile,0.01,104.6
2022-06-12,2 day ahead inc hosp,2022-06-24,06,quantile,0.01,253.5
2022-06-12,2 day ahead inc hosp,2022-06-24,04,quantile,0.01,42.7
2022-06-12,2 day ahead inc hosp,2022-06-24,25,quantile,0.01,39.5
2022-06-12,2 day ahead inc hosp,2022-06-24,55,quantile,0.01,46.1
2022-06-12,2 day ahead inc hosp,2022-06-24,48,quantile,0.01,173.2
2022-06-12,2 day ahead inc hosp,2022-06-24,31,quantile,0.01,8.2
2022-06-12,2 day ahead inc hosp,2022-06-24,49,quantile,0.01,17.5
2022-06-12,2 day ahead inc hosp,2022-06-24,41,quantile,0.01,22.3
2022-06-12,2 day ahead inc hosp,2022-06-24,12,quantile,0.01,238.4
2022-06-12,2 day ahead inc hosp,2022-06-24,36,quantile,0.01,121.7
2022-06-12,2 day ahead inc hosp,2022-06-24,44,quantile,0.01,1.2
2022-06-12,2 day ahead inc hosp,2022-06-24,13,quantile,0.01,64.8
2022-06-12,2 day ahead inc hosp,2022-06-24,33,quantile,0.01,5.3
2022-06-12,2 day ahead inc hosp,2022-06-24,37,quantile,0.01,58.2
2022-06-12,2 day ahead inc hosp,2022-06-24,34,quantile,0.01,80.5
2022-06-12,2 day ahead inc hosp,2022-06-24,08,quantile,0.01,46.3
2022-06-12,2 day ahead inc hosp,2022-06-24,24,quantile,0.01,21.9
2022-06-12,2 day ahead inc hosp,2022-06-24,32,quantile,0.01,24.4
2022-06-12,2 day ahead inc hosp,2022-06-24,47,quantile,0.01,36.2
2022-06-12,2 day ahead inc hosp,2022-06-24,15,quantile,0.01,24.7
2022-06-12,2 day ahead inc hosp,2022-06-24,18,quantile,0.01,40.7
2022-06-12,2 day ahead inc hosp,2022-06-24,21,quantile,0.01,3.6
2022-06-12,2 day ahead inc hosp,2022-06-24,27,quantile,0.01,38.8
2022-06-12,2 day ahead inc hosp,2022-06-24,40,quantile,0.01,3.2
2022-06-12,2 day ahead inc hosp,2022-06-24,42,quantile,0.01,83.5
2022-06-12,2 day ahead inc hosp,2022-06-24,45,quantile,0.01,28.8
2022-06-12,2 day ahead inc hosp,2022-06-24,11,quantile,0.01,5.4
2022-06-12,2 day ahead inc hosp,2022-06-24,20,quantile,0.01,11.5
2022-06-12,2 day ahead inc hosp,2022-06-24,29,quantile,0.01,46.8
2022-06-12,2 day ahead inc hosp,2022-06-24,50,quantile,0.01,0.8
2022-06-12,2 day ahead inc hosp,2022-06-24,51,quantile,0.01,50.5
2022-06-12,2 day ahead inc hosp,2022-06-24,09,quantile,0.01,26.3
2022-06-12,2 day ahead inc hosp,2022-06-24,19,quantile,0.01,18.9
2022-06-12,2 day ahead inc hosp,2022-06-24,22,quantile,0.01,27.2
2022-06-12,2 day ahead inc hosp,2022-06-24,39,quantile,0.01,84.1
2022-06-12,2 day ahead inc hosp,2022-06-24,26,quantile,0.01,66.9
2022-06-12,2 day ahead inc hosp,2022-06-24,46,quantile,0.01,3.7
2022-06-12,2 day ahead inc hosp,2022-06-24,05,quantile,0.01,12.6
2022-06-12,2 day ahead inc hosp,2022-06-24,10,quantile,0.01,2.9
2022-06-12,2 day ahead inc hosp,2022-06-24,28,quantile,0.01,11.5
2022-06-12,2 day ahead inc hosp,2022-06-24,35,quantile,0.01,10.7
2022-06-12,2 day ahead inc hosp,2022-06-24,38,quantile,0.01,2.1
2022-06-12,2 day ahead inc hosp,2022-06-24,56,quantile,0.01,3.1
2022-06-12,2 day ahead inc hosp,2022-06-24,02,quantile,0.01,3.3
2022-06-12,2 day ahead inc hosp,2022-06-24,23,quantile,0.01,4.8
2022-06-12,2 day ahead inc hosp,2022-06-24,01,quantile,0.01,28
2022-06-12,2 day ahead inc hosp,2022-06-24,16,quantile,0.01,8.7
2022-06-12,2 day ahead inc hosp,2022-06-24,30,quantile,0.01,2.3
2022-06-12,2 day ahead inc hosp,2022-06-24,72,quantile,0.01,12.6
2022-06-12,2 day ahead inc hosp,2022-06-24,78,quantile,0.01,0
2022-06-12,2 day ahead inc hosp,2022-06-24,54,quantile,0.01,16
2022-06-12,3 day ahead inc hosp,2022-07-01,53,quantile,0.01,39.2
2022-06-12,3 day ahead inc hosp,2022-07-01,17,quantile,0.01,103.1
2022-06-12,3 day ahead inc hosp,2022-07-01,06,quantile,0.01,252.4
2022-06-12,3 day ahead inc hosp,2022-07-01,04,quantile,0.01,42.4
2022-06-12,3 day ahead inc hosp,2022-07-01,25,quantile,0.01,39.1
2022-06-12,3 day ahead inc hosp,2022-07-01,55,quantile,0.01,46
2022-06-12,3 day ahead inc hosp,2022-07-01,48,quantile,0.01,172.1
2022-06-12,3 day ahead inc hosp,2022-07-01,31,quantile,0.01,8.2
2022-06-12,3 day ahead inc hosp,2022-07-01,49,quantile,0.01,17.6
2022-06-12,3 day ahead inc hosp,2022-07-01,41,quantile,0.01,22.2
2022-06-12,3 day ahead inc hosp,2022-07-01,12,quantile,0.01,233.7
2022-06-12,3 day ahead inc hosp,2022-07-01,36,quantile,0.01,119
2022-06-12,3 day ahead inc hosp,2022-07-01,44,quantile,0.01,1.1
2022-06-12,3 day ahead inc hosp,2022-07-01,13,quantile,0.01,65
2022-06-12,3 day ahead inc hosp,2022-07-01,33,quantile,0.01,5.2
2022-06-12,3 day ahead inc hosp,2022-07-01,37,quantile,0.01,58.1
2022-06-12,3 day ahead inc hosp,2022-07-01,34,quantile,0.01,80.4
