forecast_date,target,target_end_date,location,type,quantile,value
2022-08-07,1 day ahead inc hosp,2022-08-12,53,quantile,0.01,45.7
2022-08-07,1 day ahead inc hosp,2022-08-12,17,quantile,0.01,145
2022-08-07,1 day ahead inc hosp,2022-08-12,06,quantile,0.01,348.2
2022-08-07,1 day ahead inc hosp,2022-08-12,04,quantile,0.01,40.5
2022-08-07,1 day ahead inc hosp,2022-08-12,25,quantile,0.01,42.3
2022-08-07,1 day ahead inc hosp,2022-08-12,55,quantile,0.01,60.2
2022-08-07,1 day ahead inc hosp,2022-08-12,48,quantile,0.01,320.8
2022-08-07,1 day ahead inc hosp,2022-08-12,31,quantile,0.01,16.8
2022-08-07,1 day ahead inc hosp,2022-08-12,49,quantile,0.01,25
2022-08-07,1 day ahead inc hosp,2022-08-12,41,quantile,0.01,31.1
2022-08-07,1 day ahead inc hosp,2022-08-12,12,quantile,0.01,337.2
2022-08-07,1 day ahead inc hosp,2022-08-12,36,quantile,0.01,204
2022-08-07,1 day ahead inc hosp,2022-08-12,44,quantile,0.01,5.5
2022-08-07,1 day ahead inc hosp,2022-08-12,13,quantile,0.01,152.9
2022-08-07,1 day ahead inc hosp,2022-08-12,33,quantile,0.01,7.2
2022-08-07,1 day ahead inc hosp,2022-08-12,37,quantile,0.01,98.4
2022-08-07,1 day ahead inc hosp,2022-08-12,34,quantile,0.01,102.3
2022-08-07,1 day ahead inc hosp,2022-08-12,08,quantile,0.01,37.3
2022-08-07,1 day ahead inc hosp,2022-08-12,24,quantile,0.01,51.8
2022-08-07,1 day ahead inc hosp,2022-08-12,32,quantile,0.01,14.4
2022-08-07,1 day ahead inc hosp,2022-08-12,47,quantile,0.01,73.4
2022-08-07,1 day ahead inc hosp,2022-08-12,15,quantile,0.01,17.1
2022-08-07,1 day ahead inc hosp,2022-08-12,18,quantile,0.01,80.4
2022-08-07,1 day ahead inc hosp,2022-08-12,21,quantile,0.01,0
2022-08-07,1 day ahead inc hosp,2022-08-12,27,quantile,0.01,55.9
2022-08-07,1 day ahead inc hosp,2022-08-12,40,quantile,0.01,0
2022-08-07,1 day ahead inc hosp,2022-08-12,42,quantile,0.01,129.6
2022-08-07,1 day ahead inc hosp,2022-08-12,45,quantile,0.01,57.8
2022-08-07,1 day ahead inc hosp,2022-08-12,11,quantile,0.01,9.5
2022-08-07,1 day ahead inc hosp,2022-08-12,20,quantile,0.01,22.4
2022-08-07,1 day ahead inc hosp,2022-08-12,29,quantile,0.01,66
2022-08-07,1 day ahead inc hosp,2022-08-12,50,quantile,0.01,1.1
2022-08-07,1 day ahead inc hosp,2022-08-12,51,quantile,0.01,87.8
2022-08-07,1 day ahead inc hosp,2022-08-12,09,quantile,0.01,39.6
2022-08-07,1 day ahead inc hosp,2022-08-12,19,quantile,0.01,34.6
2022-08-07,1 day ahead inc hosp,2022-08-12,22,quantile,0.01,47.3
2022-08-07,1 day ahead inc hosp,2022-08-12,39,quantile,0.01,134.9
2022-08-07,1 day ahead inc hosp,2022-08-12,26,quantile,0.01,118.9
2022-08-07,1 day ahead inc hosp,2022-08-12,46,quantile,0.01,10.8
2022-08-07,1 day ahead inc hosp,2022-08-12,05,quantile,0.01,27.8
2022-08-07,1 day ahead inc hosp,2022-08-12,10,quantile,0.01,6.5
2022-08-07,1 day ahead inc hosp,2022-08-12,28,quantile,0.01,26.2
2022-08-07,1 day ahead inc hosp,2022-08-12,35,quantile,0.01,11.1
2022-08-07,1 day ahead inc hosp,2022-08-12,38,quantile,0.01,4.3
2022-08-07,1 day ahead inc hosp,2022-08-12,56,quantile,0.01,3.6
2022-08-07,1 day ahead inc hosp,2022-08-12,02,quantile,0.01,4
2022-08-07,1 day ahead inc hosp,2022-08-12,23,quantile,0.01,7.7
2022-08-07,1 day ahead inc hosp,2022-08-12,01,quantile,0.01,59.9
2022-08-07,1 day ahead inc hosp,2022-08-12,16,quantile,0.01,9.4
2022-08-07,1 day ahead inc hosp,2022-08-12,30,quantile,0.01,5.9
2022-08-07,1 day ahead inc hosp,2022-08-12,72,quantile,0.01,12.4
2022-08-07,1 day ahead inc hosp,2022-08-12,78,quantile,0.01,0
2022-08-07,1 day ahead inc hosp,2022-08-12,54,quantile,0.01,25.3
2022-08-07,2 day ahead inc hosp,2022-08-19,53,quantile,0.01,45.3
2022-08-07,2 day ahead inc hosp,2022-08-19,17,quantile,0.01,144.5
2022-08-07,2 day ahead inc hosp,2022-08-19,06,quantile,0.01,346.4
2022-08-07,2 day ahead inc hosp,2022-08-19,04,quantile,0.01,40
2022-08-07,2 day ahead inc hosp,2022-08-19,25,quantile,0.01,42.3
2022-08-07,2 day ahead inc hosp,2022-08-19,55,quantile,0.01,60.2
2022-08-07,2 day ahead inc hosp,2022-08-19,48,quantile,0.01,319.1
2022-08-07,2 day ahead inc hosp,2022-08-19,31,quantile,0.01,16.8
2022-08-07,2 day ahead inc hosp,2022-08-19,49,quantile,0.01,24.8
2022-08-07,2 day ahead inc hosp,2022-08-19,41,quantile,0.01,30.8
2022-08-07,2 day ahead inc hosp,2022-08-19,12,quantile,0.01,336.9
2022-08-07,2 day ahead inc hosp,2022-08-19,36,quantile,0.01,202.2
2022-08-07,2 day ahead inc hosp,2022-08-19,44,quantile,0.01,5.5
2022-08-07,2 day ahead inc hosp,2022-08-19,13,quantile,0.01,152.6
2022-08-07,2 day ahead inc hosp,2022-08-19,33,quantile,0.01,7.1
2022-08-07,2 day ahead inc hosp,2022-08-19,37,quantile,0.01,98.4
2022-08-07,2 day ahead inc hosp,2022-08-19,34,quantile,0.01,102
2022-08-07,2 day ahead inc hosp,2022-08-19,08,quantile,0.01,37
2022-08-07,2 day ahead inc hosp,2022-08-19,24,quantile,0.01,51.8
2022-08-07,2 day ahead inc hosp,2022-08-19,32,quantile,0.01,14.3
2022-08-07,2 day ahead inc hosp,2022-08-19,47,quantile,0.01,73
2022-08-07,2 day ahead inc hosp,2022-08-19,15,quantile,0.01,16.9
2022-08-07,2 day ahead inc hosp,2022-08-19,18,quantile,0.01,80.2
2022-08-07,2 day ahead inc hosp,2022-08-19,21,quantile,0.01,0
2022-08-07,2 day ahead inc hosp,2022-08-19,27,quantile,0.01,55.8
2022-08-07,2 day ahead inc hosp,2022-08-19,40,quantile,0.01,0
2022-08-07,2 day ahead inc hosp,2022-08-19,42,quantile,0.01,129.1
2022-08-07,2 day ahead inc hosp,2022-08-19,45,quantile,0.01,57
2022-08-07,2 day ahead inc hosp,2022-08-19,11,quantile,0.01,9.4
2022-08-07,2 day ahead inc hosp,2022-08-19,20,quantile,0.01,22.1
2022-08-07,2 day ahead inc hosp,2022-08-19,29,quantile,0.01,65.5
2022-08-07,2 day ahead inc hosp,2022-08-19,50,quantile,0.01,1.1
2022-08-07,2 day ahead inc hosp,2022-08-19,51,quantile,0.01,87.4
2022-08-07,2 day ahead inc hosp,2022-08-19,09,quantile,0.01,39.6
2022-08-07,2 day ahead inc hosp,2022-08-19,19,quantile,0.01,34.4
2022-08-07,2 day ahead inc hosp,2022-08-19,22,quantile,0.01,47
2022-08-07,2 day ahead inc hosp,2022-08-19,39,quantile,0.01,134.4
2022-08-07,2 day ahead inc hosp,2022-08-19,26,quantile,0.01,118.1
2022-08-07,2 day ahead inc hosp,2022-08-19,46,quantile,0.01,10.7
2022-08-07,2 day ahead inc hosp,2022-08-19,05,quantile,0.01,27.4
2022-08-07,2 day ahead inc hosp,2022-08-19,10,quantile,0.01,6.5
2022-08-07,2 day ahead inc hosp,2022-08-19,28,quantile,0.01,26
2022-08-07,2 day ahead inc hosp,2022-08-19,35,quantile,0.01,10.9
2022-08-07,2 day ahead inc hosp,2022-08-19,38,quantile,0.01,4.3
2022-08-07,2 day ahead inc hosp,2022-08-19,56,quantile,0.01,3.6
2022-08-07,2 day ahead inc hosp,2022-08-19,02,quantile,0.01,4
2022-08-07,2 day ahead inc hosp,2022-08-19,23,quantile,0.01,7.7
2022-08-07,2 day ahead inc hosp,2022-08-19,01,quantile,0.01,59.4
