forecast_date,target,target_end_date,location,type,quantile,value
2023-01-29,1 day ahead inc hosp,2023-02-03,53,quantile,0.01,31.3
2023-01-29,1 day ahead inc hosp,2023-02-03,17,quantile,0.01,73.8
2023-01-29,1 day ahead inc hosp,2023-02-03,06,quantile,0.01,198.3
2023-01-29,1 day ahead inc hosp,2023-02-03,04,quantile,0.01,26.3
2023-01-29,1 day ahead inc hosp,2023-02-03,25,quantile,0.01,61.5
2023-01-29,1 day ahead inc hosp,2023-02-03,55,quantile,0.01,36.9
2023-01-29,1 day ahead inc hosp,2023-02-03,48,quantile,0.01,198.5
2023-01-29,1 day ahead inc hosp,2023-02-03,31,quantile,0.01,4.8
2023-01-29,1 day ahead inc hosp,2023-02-03,49,quantile,0.01,4.7
2023-01-29,1 day ahead inc hosp,2023-02-03,41,quantile,0.01,14.6
2023-01-29,1 day ahead inc hosp,2023-02-03,12,quantile,0.01,154.2
2023-01-29,1 day ahead inc hosp,2023-02-03,36,quantile,0.01,168.6
2023-01-29,1 day ahead inc hosp,2023-02-03,44,quantile,0.01,6.8
2023-01-29,1 day ahead inc hosp,2023-02-03,13,quantile,0.01,76.7
2023-01-29,1 day ahead inc hosp,2023-02-03,33,quantile,0.01,2.3
2023-01-29,1 day ahead inc hosp,2023-02-03,37,quantile,0.01,69.2
2023-01-29,1 day ahead inc hosp,2023-02-03,34,quantile,0.01,117.2
2023-01-29,1 day ahead inc hosp,2023-02-03,08,quantile,0.01,18.2
2023-01-29,1 day ahead inc hosp,2023-02-03,24,quantile,0.01,34.6
2023-01-29,1 day ahead inc hosp,2023-02-03,32,quantile,0.01,9.7
2023-01-29,1 day ahead inc hosp,2023-02-03,47,quantile,0.01,33.3
2023-01-29,1 day ahead inc hosp,2023-02-03,15,quantile,0.01,5
2023-01-29,1 day ahead inc hosp,2023-02-03,18,quantile,0.01,32.4
2023-01-29,1 day ahead inc hosp,2023-02-03,21,quantile,0.01,25.6
2023-01-29,1 day ahead inc hosp,2023-02-03,27,quantile,0.01,26.7
2023-01-29,1 day ahead inc hosp,2023-02-03,40,quantile,0.01,26.6
2023-01-29,1 day ahead inc hosp,2023-02-03,42,quantile,0.01,110.1
2023-01-29,1 day ahead inc hosp,2023-02-03,45,quantile,0.01,22.1
2023-01-29,1 day ahead inc hosp,2023-02-03,11,quantile,0.01,4.4
2023-01-29,1 day ahead inc hosp,2023-02-03,20,quantile,0.01,10.5
2023-01-29,1 day ahead inc hosp,2023-02-03,29,quantile,0.01,30.6
2023-01-29,1 day ahead inc hosp,2023-02-03,50,quantile,0.01,2.3
2023-01-29,1 day ahead inc hosp,2023-02-03,51,quantile,0.01,52.7
2023-01-29,1 day ahead inc hosp,2023-02-03,09,quantile,0.01,36.6
2023-01-29,1 day ahead inc hosp,2023-02-03,19,quantile,0.01,10.9
2023-01-29,1 day ahead inc hosp,2023-02-03,22,quantile,0.01,24.3
2023-01-29,1 day ahead inc hosp,2023-02-03,39,quantile,0.01,80.6
2023-01-29,1 day ahead inc hosp,2023-02-03,26,quantile,0.01,28.9
2023-01-29,1 day ahead inc hosp,2023-02-03,46,quantile,0.01,4.4
2023-01-29,1 day ahead inc hosp,2023-02-03,05,quantile,0.01,12.2
2023-01-29,1 day ahead inc hosp,2023-02-03,10,quantile,0.01,5.7
2023-01-29,1 day ahead inc hosp,2023-02-03,28,quantile,0.01,4.4
2023-01-29,1 day ahead inc hosp,2023-02-03,35,quantile,0.01,6.2
2023-01-29,1 day ahead inc hosp,2023-02-03,38,quantile,0.01,2.2
2023-01-29,1 day ahead inc hosp,2023-02-03,56,quantile,0.01,0.4
2023-01-29,1 day ahead inc hosp,2023-02-03,02,quantile,0.01,1.4
2023-01-29,1 day ahead inc hosp,2023-02-03,23,quantile,0.01,5.6
2023-01-29,1 day ahead inc hosp,2023-02-03,01,quantile,0.01,32.4
2023-01-29,1 day ahead inc hosp,2023-02-03,16,quantile,0.01,3.8
2023-01-29,1 day ahead inc hosp,2023-02-03,30,quantile,0.01,2.5
2023-01-29,1 day ahead inc hosp,2023-02-03,72,quantile,0.01,6.6
2023-01-29,1 day ahead inc hosp,2023-02-03,78,quantile,0.01,0
2023-01-29,1 day ahead inc hosp,2023-02-03,54,quantile,0.01,12.8
2023-01-29,2 day ahead inc hosp,2023-02-10,53,quantile,0.01,31.1
2023-01-29,2 day ahead inc hosp,2023-02-10,17,quantile,0.01,73
2023-01-29,2 day ahead inc hosp,2023-02-10,06,quantile,0.01,196.1
2023-01-29,2 day ahead inc hosp,2023-02-10,04,quantile,0.01,26.2
2023-01-29,2 day ahead inc hosp,2023-02-10,25,quantile,0.01,60.8
2023-01-29,2 day ahead inc hosp,2023-02-10,55,quantile,0.01,36.8
2023-01-29,2 day ahead inc hosp,2023-02-10,48,quantile,0.01,196.2
2023-01-29,2 day ahead inc hosp,2023-02-10,31,quantile,0.01,4.8
2023-01-29,2 day ahead inc hosp,2023-02-10,49,quantile,0.01,4.6
2023-01-29,2 day ahead inc hosp,2023-02-10,41,quantile,0.01,14.5
2023-01-29,2 day ahead inc hosp,2023-02-10,12,quantile,0.01,153.8
2023-01-29,2 day ahead inc hosp,2023-02-10,36,quantile,0.01,167
2023-01-29,2 day ahead inc hosp,2023-02-10,44,quantile,0.01,6.7
