forecast_date,target,target_end_date,location,type,quantile,value
2022-07-17,1 day ahead inc hosp,2022-07-22,53,quantile,0.01,70.6
2022-07-17,1 day ahead inc hosp,2022-07-22,17,quantile,0.01,151.8
2022-07-17,1 day ahead inc hosp,2022-07-22,06,quantile,0.01,475.9
2022-07-17,1 day ahead inc hosp,2022-07-22,04,quantile,0.01,61.6
2022-07-17,1 day ahead inc hosp,2022-07-22,25,quantile,0.01,64.4
2022-07-17,1 day ahead inc hosp,2022-07-22,55,quantile,0.01,53.5
2022-07-17,1 day ahead inc hosp,2022-07-22,48,quantile,0.01,304.8
2022-07-17,1 day ahead inc hosp,2022-07-22,31,quantile,0.01,17.3
2022-07-17,1 day ahead inc hosp,2022-07-22,49,quantile,0.01,29.7
2022-07-17,1 day ahead inc hosp,2022-07-22,41,quantile,0.01,35.2
2022-07-17,1 day ahead inc hosp,2022-07-22,12,quantile,0.01,408
2022-07-17,1 day ahead inc hosp,2022-07-22,36,quantile,0.01,207
2022-07-17,1 day ahead inc hosp,2022-07-22,44,quantile,0.01,1.3
2022-07-17,1 day ahead inc hosp,2022-07-22,13,quantile,0.01,123.4
2022-07-17,1 day ahead inc hosp,2022-07-22,33,quantile,0.01,8.7
2022-07-17,1 day ahead inc hosp,2022-07-22,37,quantile,0.01,100.4
2022-07-17,1 day ahead inc hosp,2022-07-22,34,quantile,0.01,119.5
2022-07-17,1 day ahead inc hosp,2022-07-22,08,quantile,0.01,59.7
2022-07-17,1 day ahead inc hosp,2022-07-22,24,quantile,0.01,51.4
2022-07-17,1 day ahead inc hosp,2022-07-22,32,quantile,0.01,27.8
2022-07-17,1 day ahead inc hosp,2022-07-22,47,quantile,0.01,70.6
2022-07-17,1 day ahead inc hosp,2022-07-22,15,quantile,0.01,18.3
2022-07-17,1 day ahead inc hosp,2022-07-22,18,quantile,0.01,64.9
2022-07-17,1 day ahead inc hosp,2022-07-22,21,quantile,0.01,0
2022-07-17,1 day ahead inc hosp,2022-07-22,27,quantile,0.01,41
2022-07-17,1 day ahead inc hosp,2022-07-22,40,quantile,0.01,0
2022-07-17,1 day ahead inc hosp,2022-07-22,42,quantile,0.01,130.8
2022-07-17,1 day ahead inc hosp,2022-07-22,45,quantile,0.01,47
2022-07-17,1 day ahead inc hosp,2022-07-22,11,quantile,0.01,8.9
2022-07-17,1 day ahead inc hosp,2022-07-22,20,quantile,0.01,30.9
2022-07-17,1 day ahead inc hosp,2022-07-22,29,quantile,0.01,67
2022-07-17,1 day ahead inc hosp,2022-07-22,50,quantile,0.01,0.3
2022-07-17,1 day ahead inc hosp,2022-07-22,51,quantile,0.01,72
2022-07-17,1 day ahead inc hosp,2022-07-22,09,quantile,0.01,35.1
2022-07-17,1 day ahead inc hosp,2022-07-22,19,quantile,0.01,30.3
2022-07-17,1 day ahead inc hosp,2022-07-22,22,quantile,0.01,42
2022-07-17,1 day ahead inc hosp,2022-07-22,39,quantile,0.01,130.8
2022-07-17,1 day ahead inc hosp,2022-07-22,26,quantile,0.01,91.4
2022-07-17,1 day ahead inc hosp,2022-07-22,46,quantile,0.01,6.9
2022-07-17,1 day ahead inc hosp,2022-07-22,05,quantile,0.01,33.2
2022-07-17,1 day ahead inc hosp,2022-07-22,10,quantile,0.01,6.4
2022-07-17,1 day ahead inc hosp,2022-07-22,28,quantile,0.01,42
2022-07-17,1 day ahead inc hosp,2022-07-22,35,quantile,0.01,11.8
2022-07-17,1 day ahead inc hosp,2022-07-22,38,quantile,0.01,5.9
2022-07-17,1 day ahead inc hosp,2022-07-22,56,quantile,0.01,3.6
2022-07-17,1 day ahead inc hosp,2022-07-22,02,quantile,0.01,5.8
2022-07-17,1 day ahead inc hosp,2022-07-22,23,quantile,0.01,5.3
2022-07-17,1 day ahead inc hosp,2022-07-22,01,quantile,0.01,65.3
2022-07-17,1 day ahead inc hosp,2022-07-22,16,quantile,0.01,18.8
2022-07-17,1 day ahead inc hosp,2022-07-22,30,quantile,0.01,12.2
