forecast_date,target,target_end_date,location,type,quantile,value
2023-01-01,1 day ahead inc hosp,2023-01-06,53,quantile,0.01,35.6
2023-01-01,1 day ahead inc hosp,2023-01-06,17,quantile,0.01,152.4
2023-01-01,1 day ahead inc hosp,2023-01-06,06,quantile,0.01,445
2023-01-01,1 day ahead inc hosp,2023-01-06,04,quantile,0.01,44.5
2023-01-01,1 day ahead inc hosp,2023-01-06,25,quantile,0.01,114
2023-01-01,1 day ahead inc hosp,2023-01-06,55,quantile,0.01,50.3
2023-01-01,1 day ahead inc hosp,2023-01-06,48,quantile,0.01,318.1
2023-01-01,1 day ahead inc hosp,2023-01-06,31,quantile,0.01,11.2
2023-01-01,1 day ahead inc hosp,2023-01-06,49,quantile,0.01,21.9
2023-01-01,1 day ahead inc hosp,2023-01-06,41,quantile,0.01,17.3
2023-01-01,1 day ahead inc hosp,2023-01-06,12,quantile,0.01,198.9
2023-01-01,1 day ahead inc hosp,2023-01-06,36,quantile,0.01,271.1
2023-01-01,1 day ahead inc hosp,2023-01-06,44,quantile,0.01,9.4
2023-01-01,1 day ahead inc hosp,2023-01-06,13,quantile,0.01,117.7
2023-01-01,1 day ahead inc hosp,2023-01-06,33,quantile,0.01,10.6
2023-01-01,1 day ahead inc hosp,2023-01-06,37,quantile,0.01,130.8
2023-01-01,1 day ahead inc hosp,2023-01-06,34,quantile,0.01,194.9
2023-01-01,1 day ahead inc hosp,2023-01-06,08,quantile,0.01,32
2023-01-01,1 day ahead inc hosp,2023-01-06,24,quantile,0.01,71.6
2023-01-01,1 day ahead inc hosp,2023-01-06,32,quantile,0.01,19.6
2023-01-01,1 day ahead inc hosp,2023-01-06,47,quantile,0.01,72.3
2023-01-01,1 day ahead inc hosp,2023-01-06,15,quantile,0.01,11.1
2023-01-01,1 day ahead inc hosp,2023-01-06,18,quantile,0.01,76.8
2023-01-01,1 day ahead inc hosp,2023-01-06,21,quantile,0.01,0
2023-01-01,1 day ahead inc hosp,2023-01-06,27,quantile,0.01,53.1
2023-01-01,1 day ahead inc hosp,2023-01-06,40,quantile,0.01,0
2023-01-01,1 day ahead inc hosp,2023-01-06,42,quantile,0.01,147.1
2023-01-01,1 day ahead inc hosp,2023-01-06,45,quantile,0.01,55.5
2023-01-01,1 day ahead inc hosp,2023-01-06,11,quantile,0.01,9.9
2023-01-01,1 day ahead inc hosp,2023-01-06,20,quantile,0.01,22.4
2023-01-01,1 day ahead inc hosp,2023-01-06,29,quantile,0.01,73.9
2023-01-01,1 day ahead inc hosp,2023-01-06,50,quantile,0.01,1.9
2023-01-01,1 day ahead inc hosp,2023-01-06,51,quantile,0.01,114.7
2023-01-01,1 day ahead inc hosp,2023-01-06,09,quantile,0.01,69.6
2023-01-01,1 day ahead inc hosp,2023-01-06,19,quantile,0.01,22.3
2023-01-01,1 day ahead inc hosp,2023-01-06,22,quantile,0.01,30.9
2023-01-01,1 day ahead inc hosp,2023-01-06,39,quantile,0.01,150.4
2023-01-01,1 day ahead inc hosp,2023-01-06,26,quantile,0.01,106.1
2023-01-01,1 day ahead inc hosp,2023-01-06,46,quantile,0.01,3.4
2023-01-01,1 day ahead inc hosp,2023-01-06,05,quantile,0.01,26.9
2023-01-01,1 day ahead inc hosp,2023-01-06,10,quantile,0.01,5.7
2023-01-01,1 day ahead inc hosp,2023-01-06,28,quantile,0.01,35.8
2023-01-01,1 day ahead inc hosp,2023-01-06,35,quantile,0.01,7.1
2023-01-01,1 day ahead inc hosp,2023-01-06,38,quantile,0.01,2.8
2023-01-01,1 day ahead inc hosp,2023-01-06,56,quantile,0.01,1.1
2023-01-01,1 day ahead inc hosp,2023-01-06,02,quantile,0.01,0.8
2023-01-01,1 day ahead inc hosp,2023-01-06,23,quantile,0.01,6.5
2023-01-01,1 day ahead inc hosp,2023-01-06,01,quantile,0.01,47.5
2023-01-01,1 day ahead inc hosp,2023-01-06,16,quantile,0.01,8.6
2023-01-01,1 day ahead inc hosp,2023-01-06,30,quantile,0.01,0
2023-01-01,1 day ahead inc hosp,2023-01-06,72,quantile,0.01,12.8
2023-01-01,1 day ahead inc hosp,2023-01-06,78,quantile,0.01,0.1
2023-01-01,1 day ahead inc hosp,2023-01-06,54,quantile,0.01,14.8
2023-01-01,2 day ahead inc hosp,2023-01-13,53,quantile,0.01,35.6
2023-01-01,2 day ahead inc hosp,2023-01-13,17,quantile,0.01,151
2023-01-01,2 day ahead inc hosp,2023-01-13,06,quantile,0.01,443.8
2023-01-01,2 day ahead inc hosp,2023-01-13,04,quantile,0.01,44.3
2023-01-01,2 day ahead inc hosp,2023-01-13,25,quantile,0.01,112.8
2023-01-01,2 day ahead inc hosp,2023-01-13,55,quantile,0.01,50.3
2023-01-01,2 day ahead inc hosp,2023-01-13,48,quantile,0.01,317.5
2023-01-01,2 day ahead inc hosp,2023-01-13,31,quantile,0.01,11.1
2023-01-01,2 day ahead inc hosp,2023-01-13,49,quantile,0.01,21.8
2023-01-01,2 day ahead inc hosp,2023-01-13,41,quantile,0.01,17.3
2023-01-01,2 day ahead inc hosp,2023-01-13,12,quantile,0.01,198.1
2023-01-01,2 day ahead inc hosp,2023-01-13,36,quantile,0.01,269
2023-01-01,2 day ahead inc hosp,2023-01-13,44,quantile,0.01,9.3
2023-01-01,2 day ahead inc hosp,2023-01-13,13,quantile,0.01,117.2
2023-01-01,2 day ahead inc hosp,2023-01-13,33,quantile,0.01,10.6
2023-01-01,2 day ahead inc hosp,2023-01-13,37,quantile,0.01,130.7
2023-01-01,2 day ahead inc hosp,2023-01-13,34,quantile,0.01,194.9
2023-01-01,2 day ahead inc hosp,2023-01-13,08,quantile,0.01,31.7
2023-01-01,2 day ahead inc hosp,2023-01-13,24,quantile,0.01,71.5
2023-01-01,2 day ahead inc hosp,2023-01-13,32,quantile,0.01,19.4
2023-01-01,2 day ahead inc hosp,2023-01-13,47,quantile,0.01,72.3
2023-01-01,2 day ahead inc hosp,2023-01-13,15,quantile,0.01,11.1
